iter	Passed	Remaining
0	136	136100
1	137	68394
2	137	45795
3	138	34470
4	139	27711
5	139	23188
6	140	19962
7	141	17549
8	142	15663
9	142	14154
10	143	12924
11	144	11896
12	145	11028
13	145	10281
14	146	9632
15	147	9066
16	148	8569
17	148	8126
18	149	7725
19	150	7362
20	150	7039
21	151	6746
22	152	6477
23	153	6228
24	153	6003
25	154	5792
26	155	5601
27	156	5423
28	156	5255
29	157	5101
30	158	4955
31	159	4815
32	159	4686
33	160	4565
34	161	4451
35	162	4342
36	162	4241
37	163	4147
38	164	4055
39	165	3967
40	166	3883
41	166	3804
42	167	3728
43	168	3653
44	168	3584
45	169	3521
46	170	3456
47	171	3400
48	172	3347
49	173	3293
50	174	3242
51	175	3194
52	175	3144
53	176	3097
54	177	3051
55	178	3005
56	178	2960
57	179	2917
58	180	2875
59	180	2834
60	181	2796
61	182	2762
62	183	2726
63	184	2691
64	184	2657
65	185	2624
66	186	2593
67	186	2556
68	187	2526
69	187	2496
70	188	2469
71	189	2441
72	190	2413
73	190	2386
74	191	2359
75	192	2334
76	192	2310
77	193	2285
78	194	2263
79	194	2240
80	195	2220
81	196	2198
82	196	2176
83	197	2154
84	198	2132
85	198	2113
86	199	2091
87	200	2073
88	200	2056
89	201	2040
90	202	2022
91	203	2004
92	203	1986
93	204	1969
94	205	1952
95	205	1936
96	206	1920
97	207	1906
98	207	1892
99	208	1877
100	209	1862
101	209	1844
102	210	1830
103	210	1816
104	211	1803
105	212	1789
106	213	1777
107	213	1766
108	214	1755
109	215	1742
110	216	1730
111	216	1717
112	217	1706
113	218	1694
114	218	1683
115	219	1670
116	220	1661
117	220	1651
118	221	1639
119	222	1628
120	222	1618
121	223	1607
122	223	1595
123	224	1585
124	225	1576
125	225	1566
126	226	1558
127	227	1547
128	227	1538
129	228	1529
130	229	1520
131	229	1511
132	230	1502
133	231	1494
134	232	1487
135	232	1480
136	233	1472
137	234	1462
138	234	1454
139	235	1446
140	236	1438
141	236	1430
142	237	1423
143	238	1416
144	239	1410
145	239	1403
146	240	1395
147	241	1387
148	241	1380
149	242	1373
150	243	1367
151	243	1360
152	244	1354
153	245	1348
154	246	1342
155	246	1335
156	247	1328
157	248	1322
158	248	1316
159	249	1309
160	250	1303
161	251	1298
162	251	1293
163	252	1287
164	253	1281
165	253	1275
166	254	1269
167	255	1263
168	255	1257
169	256	1252
170	257	1247
171	258	1242
172	258	1236
173	259	1231
174	260	1225
175	260	1220
176	261	1215
177	262	1210
178	262	1205
179	263	1201
180	264	1195
181	264	1190
182	265	1185
183	266	1180
184	266	1175
185	267	1170
186	268	1165
187	268	1160
188	269	1156
189	270	1153
190	271	1149
191	271	1144
192	272	1139
193	273	1135
194	273	1130
195	274	1126
196	275	1121
197	276	1117
198	276	1114
199	277	1110
200	278	1105
201	278	1101
202	279	1097
203	280	1093
204	280	1088
205	281	1084
206	282	1081
207	283	1077
208	283	1074
209	284	1070
210	285	1066
211	285	1062
212	286	1058
213	287	1054
214	287	1051
215	288	1047
216	289	1044
217	290	1040
218	290	1036
219	291	1033
220	292	1029
221	292	1025
222	293	1022
223	294	1018
224	294	1015
225	295	1012
226	296	1009
227	297	1005
228	297	1002
229	298	998
230	298	995
231	299	991
232	300	988
233	301	985
234	301	982
235	302	979
236	303	976
237	303	972
238	304	969
239	305	966
240	305	963
241	306	959
242	307	957
243	308	954
244	308	951
245	309	948
246	310	945
247	310	942
248	311	939
249	312	936
250	312	933
251	313	930
252	314	928
253	315	925
254	315	922
255	316	919
256	317	917
257	317	913
258	318	911
259	319	908
260	320	906
261	321	904
262	321	901
263	322	898
264	323	896
265	323	893
266	324	890
267	325	887
268	325	885
269	326	883
270	327	881
271	328	878
272	328	875
273	329	872
274	330	870
275	330	867
276	331	864
277	332	862
278	333	860
279	333	858
280	334	856
281	335	853
282	335	850
283	336	848
